slug,url,name,type,tags,cas_no,odour,solvent,synonyms,manufacturer
nutty-pyrazine,https://pellwall.com/products/nutty-pyrazine,Nutty Pyrazine,liquid,"['aroma-chemicals', 'coffee', 'earthy', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'nutty', 'popcorn', 'roasted', 'sweet']",[],,,[],
yuzu-aldehyde,https://pellwall.com/products/yuzu-aldehyde,Yuzu Aldehyde,liquid,"['aldehydic', 'bases-and-blends', 'blends-and-bases', 'citrus', 'fresh', 'grapefruit', 'grapefruit-peel', 'green', 'juicy', 'lemon', 'liquids', 'mandarin', 'refreshing', 'tart', 'zesty']",[],,,['Yuzu speciality'],Firmenich
santaliff,https://pellwall.com/products/santaliff,Santaliff,liquid,"['aroma-chemicals', 'creamy', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'milky', 'molecules', 'sandalwood', 'woody']",['28219-60-5'],,,"['(E)-2-methyl-4-(2,2,3-trimethyl-1-cyclopent-3-enyl)but-2-en-1-ol', 'sandal butenol', 'Sandalmysore core']",IFF
cade-oil-rectified,https://pellwall.com/products/cade-oil-rectified,Cade Oil Rectified,liquid,"['bonfire', 'dry', 'essential-oils', 'halloween', 'incense', 'ingredients-for-perfumery', 'leather', 'liquids', 'natural-ingredients-for-perfumery', 'phenolic', 'resinous', 'smoky', 'tar-like', 'warm', 'woody']",['8013-10-3'],,,"['Juniperus oxycedrus', 'Juniper Tar Oil']",
methyl-laitone,https://pellwall.com/products/methyl-laitone,Methyl Laitone,liquid,"['aroma-chemicals', 'coconut-milk', 'coumarin', 'creamy', 'dry', 'fennel', 'fresh-laundry', 'herbal', 'ingredients-for-perfumery', 'lactonic', 'liquids', 'milky', 'molecules', 'rich', 'tonka']",['94201-19-1'],,DPG to form a 10% solution of methyl laitone,"['8-methyl-1-oxaspiro(4.5)decan-2-one', 'coconut decanone methyl']",
hydroxycitronellal,https://pellwall.com/products/hydroxycitronellal,Hydroxycitronellal,liquid,"['aroma-chemicals', 'clean', 'floral', 'fresh', 'green', 'ingredients-for-perfumery', 'lily-of-the-valley', 'liquids', 'mild', 'molecules', 'muguet', 'peony', 'rose', 'sweet']",['104-53-0'],,,['3-phenylpropanal;\xa0benzylacetaldehyde;\xa0dihydrocinnamaldehyde;\xa0Phenyl Propyl Aldehyde;\xa0phenyl propionaldehyde;\xa0phenyl propional'],
melonal,https://pellwall.com/products/melonal,Melonal,liquid,"['aroma-chemicals', 'cucumber', 'fixatives', 'fresh', 'fruity', 'green', 'ingredients-for-perfumery', 'liquids', 'marine', 'melon', 'molecules', 'natural', 'tart']","['106-72-9', '77787-60-1']","['green', 'fruity-melon', 'cucumber']",,"['2,6-Dimethyl-5-Heptenal', 'dimethyl heptenal', 'melon heptenal']",Givaudan
cedarwood-atlas,https://pellwall.com/products/cedarwood-atlas,Cedarwood Atlas,liquid,"['balsamic', 'camphoraceous', 'cassia', 'essential-oils', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'mimosa', 'natural-ingredients-for-perfumery', 'oriental', 'sweet', 'woody']",['8023-85-6'],,,['Cedrus atlantica Moroccan Cedarwood'],
cadaverine-1,https://pellwall.com/products/cadaverine-1,Cadaverine 1%,liquid,"['animalic', 'aroma-chemicals', 'dead-animal', 'ejaculate', 'halloween', 'heady', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'overripe-fruit', 'rot', 'sperm', 'sweet']",['462-94-2'],,At 1% in MMB (with 10% ethanol and 0.1% BHT),"['1,5-diaminopentane']",
velvione,https://pellwall.com/products/velvione,Velvione,liquid,"['animalic', 'aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'nitro-musk', 'powdery', 'radiant', 'sweet']",['37609-25-9'],"['musk', 'sweet', 'powdery', 'animalic']",,"['Ambretone', '5-cyclohexadecenone', '(5Z)-cyclohexadec-5-en-1-one', 'cyclohexadec-5-enone', 'Musk TM II']",Givaudan
woody-base,https://pellwall.com/products/woody-base,Woody Base,liquid,"['aroma-chemicals', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'musk', 'musks', 'pell-wall-specialities', 'radiant', 'rich', 'sweet', 'velvety', 'woody']",[],,,[],Pell Wall
farnesol,https://pellwall.com/products/farnesol,Farnesol,liquid,"['anise', 'apricot', 'aroma-chemicals', 'floral', 'fresh', 'fruity', 'green', 'ingredients-for-perfumery', 'lily-of-the-valley', 'linden-blossom', 'liquids', 'molecules', 'muguet', 'spicy', 'sweet-givaudan']",['4602-84-0'],,,"['3,7,11-trimethyldodeca-2,6,10-trien-1-ol', 'dragosantol', 'farnesyl alcohol']",
dpg,https://pellwall.com/products/dpg,DPG,liquid,"['ingredients-for-perfumery', 'liquids', 'near-odourless', 'solvents-amp-additives']",['25265-71-8'],,,"['3-(3-hydroxypropoxy)propan-1-ol;\xa0Di Propylene Glycol', 'DIPG', 'dipropylene glycol']",
amyl-salicylate,https://pellwall.com/products/amyl-salicylate,Amyl Salicylate,liquid,"['aroma-chemicals', 'azalea', 'chocolate', 'clover', 'floral', 'green', 'herbal', 'ingredients-for-perfumery', 'liquids', 'molecules', 'salicylate', 'sweet']",['2050-08-0'],,,"['iso-Pentyl salicylate', 'iso-Pentyl-ortho-hydroxybenzoate', '“Tresseine”', 'Trefle', 'Orchidee', 'Trefol', 'iso-Amyl salicylate']",
honey-signature-10,https://pellwall.com/products/honey-signature-10,Honey SigNature 10%,liquid,"['aroma-chemicals', 'blends-and-bases', 'edible', 'honey', 'ingredients-for-perfumery', 'liquids', 'natural', 'sweet']",[],"[';honey', 'sweet', 'edible', 'natural']",IPM to form a 10% solution,[],Firmenich
cis-3-hexenyl-salicylate,https://pellwall.com/products/cis-3-hexenyl-salicylate,cis-3-Hexenyl Salicylate,liquid,"['aroma-chemicals', 'balsamic', 'fixatives', 'floral', 'fresh', 'green', 'herbaceous', 'ingredients-for-perfumery', 'liquids', 'molecules', 'salicylate', 'sweet']",['65405-77-8'],"['fresh', 'sweet-floral', 'green-balsamic', 'salicylate']",,['Leaf salicylate'],
fruit-sec-184078d,https://pellwall.com/products/fruit-sec-184078d,Fruit Sec 184078D,liquid,"['apricot', 'blends-and-bases', 'dried-fruit', 'fruit', 'fruity', 'halloween', 'ingredients-for-perfumery', 'liquids', 'prunes', 'raisin']",[],,,[],
aldehyde-c16,https://pellwall.com/products/aldehyde-c16,Aldehyde C16,,[],['77-83-8'],"['sweet', 'berry', 'strawberry', 'fruity', 'floral nuances']",,"['ethyl methyl phenyl glycidate', 'strawberry glycidate']",
ebanol,https://pellwall.com/products/ebanol,Ebanol,liquid,"['aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'rich', 'sandalwood', 'woody']",['67801-20-1'],,,"['Sandal pentenol', '(Z)-3-methyl-5-(2,2,3-trimethyl-1-cyclopent-3-enyl)pent-4-en-2-ol', 'matsunol', 'muscosandrol', 'mohanol', 'probanol']",Givaudan
rosemary-oil,https://pellwall.com/products/rosemary-oil,Rosemary Oil,liquid,"['essential-oils', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'rosemary']",[],,,[],
popcorn-pyrazine,https://pellwall.com/products/popcorn-pyrazine,Popcorn Pyrazine,liquid,"['aroma-chemicals', 'bready', 'chocolate', 'coffee', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'nutty', 'popcorn', 'rich', 'roasted', 'sweet']",['22047-25-2'],,TEC to form a 0.1% solution of nutty pyrazine,"['2-Acetylpyrazine', 'acetyl pyrazine', '1-pyrazinylethanone']",
pinene-beta-natural-isolate,https://pellwall.com/products/pinene-beta-natural-isolate,"Pinene beta, natural isolate",liquid,"['aroma-chemicals', 'camphoraceous', 'clean', 'cooling', 'dry', 'eucalyptus', 'fresh', 'ingredients-for-perfumery', 'liquids', 'molecules', 'natural-ingredients-for-perfumery', 'natural-isolates', 'nutmeg', 'peppery', 'pine', 'resinous', 'spicy', 'watery', 'woody']",['18172-67-3'],,,[],
musk-ketone-substitute,https://pellwall.com/products/musk-ketone-substitute,Musk Ketone Substitute,liquid,"['aroma-chemicals', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'musk', 'musks', 'nitro-musk', 'soapy']",[],,,['Musk Ketone Replacer'],IFF
aldehyde-c11-enic-hendecenal,https://pellwall.com/products/aldehyde-c11-enic-hendecenal,Aldehyde C11 enic (hendecenal),liquid,"['aldehydic', 'aroma-chemicals', 'citrus', 'fatty', 'floral', 'fresh-laundry', 'green', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'radiant', 'soapy', 'waxy']",[],,,[],
jasmone-cis,https://pellwall.com/products/jasmone-cis,Jasmone Cis,liquid,"['aroma-chemicals', 'celery', 'fixatives', 'floral', 'green', 'herbal', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'molecules', 'radiant', 'spicy', 'warm', 'woody']",['488-10-8'],,,"['Jasmone Cis', 'Cis Jasmone', 'cis-jasmone']",Givaudan
benzoin-resinoid-5,https://pellwall.com/products/benzoin-resinoid-5,Benzoin resinoid 5%,liquid,"['balsam', 'balsamic', 'cinnamic', 'creamy', 'fixatives', 'ingredients-for-perfumery', 'liqueure', 'liquids', 'natural-ingredients-for-perfumery', 'powdery', 'resins-etc', 'rich', 'spicy', 'sweet', 'vanilla', 'woody']",['9000-72-0'],,Ethanol (denat) to form a 5% solution of benzoin resinoid,"['Styrax tonkinensis Pierre', 'benzoin', 'benzoin Siam']",
vetival,https://pellwall.com/products/vetival,Vetival,,"['ambery', 'bitter', 'clean', 'floral', 'fresh', 'tart', 'vetiver', 'vetiveryl-acetate', 'waxy', 'woody']",['4927-39-3'],"['floral', 'woody', 'vetiver', 'vetiveryl acetate', 'ambery']",,"['4-cyclohexyl-4-methylpentan-2-one', 'vetiver pentanone;\xa0vetivertone;\xa0vetyval']",Symrise
hydroxycitronellol,https://pellwall.com/products/hydroxycitronellol,Hydroxycitronellol,liquid,"['aroma-chemicals', 'clean', 'floral', 'fresh', 'green', 'ingredients-for-perfumery', 'lily-of-the-valley', 'liquids', 'mild', 'molecules', 'muguet', 'peony', 'rose', 'sweet']",['107-74-4'],"['floral-muguet and rose', 'fresh', 'sweet']",,"['3,7-dimethyloctane-1,7-diol', 'citronellol hydrate', 'hydroxy citronellol', 'hydroxyciol', 'hydroxyol']",
zenolide,https://pellwall.com/products/zenolide,Zenolide,liquid,"['animalic', 'aroma-chemicals', 'berry', 'fixatives', 'fresh', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks']",['54982-83-1'],,,"['1,4-Dioxacyclohexadecane-5,16-dione;\xa0ethylene dodecanoate']",IFF
amyl-acetate,https://pellwall.com/products/amyl-acetate,Amyl Acetate,liquid,"['apple', 'aroma-chemicals', 'banana', 'ethereal', 'fresh', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'pear', 'sweet']",['628-63-7'],,,"['Amyl acetates', 'iso-Amyl acetate', 'pentyl acetate', 'Pear Oil', 'Pear Ether']",
oud-synthetic-firmenich-50,https://pellwall.com/products/oud-synthetic-firmenich-50,Oud Synthetic (Firmenich) 50%,liquid,"['animalic', 'aroma-chemicals', 'balsamic', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'leather', 'liquids', 'oud', 'woody']",[],"['oud', 'woody', 'balsamic', 'animal']",IPM 50%,[],Firmenich dilution by Pell Wall
mandarin-green,https://pellwall.com/products/mandarin-green,"Mandarin, green",liquid,"['citrus', 'essential-oils', 'floral', 'fresh', 'ingredients-for-perfumery', 'liquids', 'mandarin', 'natural-ingredients-for-perfumery', 'neroli', 'orange', 'sharp', 'sweet']",['8008-31-9'],,,"['Green mandarin', 'Citrus reticulata', 'Blanco var mandarine', 'Citrus nobilis', 'Mandarine']",Cilione
lilyflore,https://pellwall.com/products/lilyflore,Lilyflore,solid,"['aroma-chemicals', 'clean', 'cucumber', 'floral', 'fresh', 'ingredients-for-perfumery', 'lily-of-the-valley', 'liquids', 'mildly-green', 'molecules', 'muguet', 'radiant', 'soapy', 'solids', 'sweet', 'watery']",['285977-85-7'],"['fresh', 'floral-muguet', 'watery', 'soapy']",DEP to form a 50% solution of Lilyflore - see below for option to have it undiluted,"['2,5-Dimethyl-2,3-dihydro-1H-inden-2-yl) methanol']",Firmenich
tolu-balsam-at-30-in-tec,https://pellwall.com/products/tolu-balsam-at-30-in-tec,Tolu Balsam at 30% in TEC,liquid,"['ambery', 'aroma-chemicals', 'balsamic', 'blends-and-bases', 'cinnamic', 'fruity', 'ingredients-for-perfumery', 'liquids', 'spicy', 'sweet']",['9000-64-0'],,TEC,['Myroxylon balsamum'],
veratraldehyde-50,https://pellwall.com/products/veratraldehyde-50,Veratraldehyde 50%,liquid,"['aroma-chemicals', 'balsamic', 'coumarin', 'creamy', 'fixatives', 'heliotropine', 'ingredients-for-perfumery', 'liquids', 'molecules', 'sweet', 'vanilla', 'warm', 'woody']",['120-14-9'],,-50% TEC,"['3,4-Dimethoxybenzaldehyde', 'Protocatechualdehyde dimethylether', 'Methyl vanillin', ""'Methyl protechin'"", 'Vanillin methyl ether', '3,4-Dimethoxy benzenecarbonal']",
earthy-pyrazine,https://pellwall.com/products/earthy-pyrazine,Earthy Pyrazine,liquid,"['aroma-chemicals', 'chocolate', 'damp-soil', 'hazelnut', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musty', 'natural', 'nutty', 'raw-potato', 'roasted', 'warm']",[],,IPM to form a 0.1% solution of earthy pyrazine,['2-ethyl-3-methoxypyrazine'],
blood-orange-oil,https://pellwall.com/products/blood-orange-oil,Blood Orange Oil,liquid,"['aldehydic', 'clean', 'essential-oils', 'fresh', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'orange', 'out-of-stock', 'peel', 'sharp', 'sweet', 'tangerine']",['8008-57-9'],,,"['Blood Orange Oil Citrus sinensis', 'Citrus sinensis (L.) Osbeck Citrus aurantium', 'Sweet Orange Group']",Cilione
whiskey-lactone,https://pellwall.com/products/whiskey-lactone,Whiskey Lactone,liquid,"['aroma-chemicals', 'cocoa', 'coconut', 'coumarin', 'creamy', 'ingredients-for-perfumery', 'liquids', 'maple', 'molecules', 'nutty', 'sweet', 'toasted', 'tonka', 'tonka-bean', 'warm', 'whiskey', 'whisky', 'wine', 'woody']",['39212-23-2'],,,"['5-butyl-4-methyloxolan-2-one', 'Methyl octalactone', 'Whiskeylactone']",ACS
tonquitone,https://pellwall.com/products/tonquitone,Tonquitone,liquid,"['animalic', 'aroma-chemicals', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'musk', 'musks']",[],,,['Deer musk speciality'],IFF
cedarwood-texas-white,https://pellwall.com/products/cedarwood-texas-white,"Cedarwood Texas, white",liquid,"['balsamic', 'dry', 'essential-oils', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'pencil-shavings', 'woody']",['68990-83-0'],,,['Juniperus mexicana\xa0Schiede'],
ethyl-lactate,https://pellwall.com/products/ethyl-lactate,Ethyl lactate,liquid,"['butterscotch', 'buttery', 'caramel', 'creamy', 'ethereal', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'natural-isolates', 'oily', 'pineapple', 'sharp', 'solvents-amp-additives', 'tart', 'warm']",['97-64-3'],,,['Ethyl 2-hydroxypropionate ethyl 2-hydroxypropanoate'],
anisaldehyde,https://pellwall.com/products/anisaldehyde,Anisaldehyde,liquid,"['anise', 'aroma-chemicals', 'coumarin', 'floral', 'hawthorn', 'ingredients-for-perfumery', 'liquids', 'molecules', 'powdery', 'sweet', 'vanilla', 'woody']",['123-11-5'],,,['Aubepine;\xa0para-methoxy benzaldehyde'],
2-ethylhexyl-salicylate,https://pellwall.com/products/2-ethylhexyl-salicylate,2-Ethylhexyl salicylate,liquid,"['aroma-chemicals', 'ingredients-for-perfumery', 'liquids', 'mild', 'molecules', 'orchid-like', 'solvents-amp-additives', 'uv-stabiliser']",['118-60-5'],"['mild', 'orchid-like']",,"['ethyl hexyl salicylate', 'octisalate', 'octyl salicylate']",
norlimbanol,https://pellwall.com/products/norlimbanol,Norlimbanol,solid,"['amber', 'animalic', 'aroma-chemicals', 'driftwood', 'dry', 'ingredients-for-perfumery', 'liquids', 'molecules', 'radiant', 'solids', 'woody']",['70788-30-6'],,DPG 50%,"['1-(2,2,6-trimethylcyclohexyl)hexan-3-olTimber propanol', 'Timberol']",Firmenich
javanol,https://pellwall.com/products/javanol,Javanol,liquid,"['aroma-chemicals', 'creamy', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'molecules', 'natural', 'radiant', 'rose', 'sandalwood']",['198404-98-7'],"['sandalwood', 'creamy', 'floral-rose']",,"['sandal cyclopropane', '(1-Methyl-2-(1,2,2-trimethylbicyclo[3.1.0]-hex-3-ylmethyl)cyclopropyl)methanol']",Givaudan
grapefruit-oil,https://pellwall.com/products/grapefruit-oil,Grapefruit Oil,liquid,"['aldehydic', 'citrus', 'clean', 'essential-oils', 'floral', 'fresh', 'grapefruit', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'peel', 'sharp', 'sweet']",['8016-20-4'],,,['Citrus paradisi'],
dihydro-ionone-beta,https://pellwall.com/products/dihydro-ionone-beta,Dihydro Ionone Beta,liquid,"['ambergris', 'aroma-chemicals', 'berry', 'fixatives', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'rich', 'violet', 'woody']",['17283-81-7'],,,"['4-(2,6,6-Trimethyl-1-cyclohexen-1-yl)butan-2-one', 'woody ionone']",Givaudan
cocoa-hexenal-10,https://pellwall.com/products/cocoa-hexenal-10,Cocoa Hexenal 10%,,"['aldehydic', 'bitter', 'chocolate', 'cocoa', 'cocoa-hexenal-10', 'creamy', 'green', 'honey', 'nutty', 'powdery', 'radiant']",['21834-92-4'],"['cocoa', 'chocolate', 'bitter', 'honey', 'aldehydic']",DPG to form a 10% solution of Cocoa Hexenal,"['5-Methyl-2-phenyl-2-hexenal', 'Choclatone', 'Cocal', 'Cocoa Aldehyde']",Riverside Aromatics
ambrofix-5,https://pellwall.com/products/ambrofix-5,Ambrofix 5%,liquid,"['amber', 'ambergris', 'aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'radiant']",['6790-58-5'],,DPG to form a 5% solution of Ambrofix,"['Ambroxan', 'ambrox', '(-)-Ambroxide,\xa0dodecahydro-3a,6,6,9a-tetramethyl naphtho[2,1-b]furan']",Givaudan
evernyl,https://pellwall.com/products/evernyl,Evernyl,solid,"['aroma-chemicals', 'earthy', 'fixatives', 'ingredients-for-perfumery', 'molecules', 'mossy', 'musks', 'oakmoss', 'phenolic', 'solids', 'woody']",['4707-47-5'],,,"['methyl atratate', 'methyl 2,4-dihydroxy-3,6-dimethylbenzoate', 'veramoss', 'verymoss']",IFF
amyris-bark-oil,https://pellwall.com/products/amyris-bark-oil,Amyris Bark Oil,liquid,"['balsamic', 'blackcurrant', 'creamy', 'essential-oils', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'oriental', 'sandalwood', 'smoky', 'sweet', 'woody']",['8015-65-4'],,,"['Amyris balsamifera', 'West Indian Rosewood', 'West Indian Sandalwood']",
geranium-bourbon,https://pellwall.com/products/geranium-bourbon,Geranium Bourbon,liquid,"['essential-oils', 'floral', 'fresh', 'fruity', 'geranium', 'green', 'ingredients-for-perfumery', 'leafy', 'liquids', 'minty', 'natural-ingredients-for-perfumery', 'rich', 'rose', 'rosy', 'spicy', 'sweet', 'woody']",['8000-46-2'],"['green', 'geranium', 'fresh', 'rosy', 'sweet', 'minty']",,"['Pelargonium graveolens', 'geranium essential oil', 'pelargonium leaf oil']",
coranol,https://pellwall.com/products/coranol,Coranol,liquid,"['aroma-chemicals', 'coriander', 'floral', 'fresh', 'hesperidic', 'ingredients-for-perfumery', 'lavender', 'lily-of-the-valley', 'linalool', 'liquids', 'metallic', 'molecules', 'muguet', 'radiant', 'rose', 'rosewood', 'spicy']",['83926-73-2'],,,['4-cyclohexyl-2-methylbutan-2-ol'],Firmenich
florhydral,https://pellwall.com/products/florhydral,Florhydral,liquid,"['aroma-chemicals', 'clean', 'floral', 'fresh', 'fresh-laundry', 'green', 'halloween', 'ingredients-for-perfumery', 'lily-of-the-valley', 'liquids', 'molecules', 'muguet', 'natural']",['125109-85-5'],"['floral-muguet', 'fresh', 'green']",,"['3-(3-propan-2-ylphenyl)butanal', 'iso propyl phenyl butanal', 'Floral Butanal']",Givaudan
sandela,https://pellwall.com/products/sandela,Sandela,liquid,"['aroma-chemicals', 'clean', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'mild', 'molecules', 'persistent', 'sandalwood', 'sweet', 'woody']",['70955-71-4'],"['sandalwood', 'clean', 'sweet', 'woody']",IPM to form an 85% solution of Sandela,"['3-[5,5,6-Trimethylbicyclo[2.2.1]hept-2-yl]cyclohexan- 1-ol', 'm-iso camphylcyclohexanol', 'meta-(iso camphyl-5) cyclohexanol', 'sandel', 'sandenol']",Givaudan
orivone,https://pellwall.com/products/orivone,Orivone,liquid,"['aroma-chemicals', 'camphoraceous', 'dry', 'earthy', 'fixatives', 'floral', 'fresh', 'ingredients-for-perfumery', 'liquids', 'molecules', 'orris', 'radiant', 'violet', 'woody']",['16587-71-6'],"['floral-orris', 'woody', 'dry', 'earthy', 'fresh']",,"['4-(2-methylbutan-2-yl)cyclohexan-1-one', 'amylcyclohexanone;\xa0iris hexanone;\xa0orris hexanone']",IFF
hexyl-salicylate,https://pellwall.com/products/hexyl-salicylate,Hexyl salicylate,liquid,"['aroma-chemicals', 'balsamic', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'molecules', 'phenolic', 'salicylate', 'solvents-amp-additives', 'spicy', 'sweet', 'uv-stabiliser']",['6259-76-3'],,,[],
galbanum-resinoid,https://pellwall.com/products/galbanum-resinoid,Galbanum Resinoid,liquid,"['balsamic', 'fixatives', 'incense', 'ingredients-for-perfumery', 'lemon', 'liquids', 'natural-ingredients-for-perfumery', 'resinous', 'resins-etc', 'rich', 'warm', 'woody']",['9000-24-2'],"['deep-green', 'woody', 'balsamic', 'dry', 'herbal', 'earthy', 'hyacinth']",DPG 50%,['Ferula galbaniflua'],
fleuranil,https://pellwall.com/products/fleuranil,Fleuranil,liquid,"['anise', 'anisic', 'aroma-chemicals', 'basil', 'floral', 'fresh', 'herbal', 'ingredients-for-perfumery', 'liquids', 'molecules', 'ozone', 'salt', 'sweet']",['134123-93-6'],,,"['3-(2-ethylphenyl)-2,2-dimethylpropanenitrile', '3-(3-ethylphenyl)-2,2-dimethylpropanenitrile', '3-(4-ethylphenyl)-2,2-dimethylpropanenitrile (isomers)']",IFF
pinene-alpha,https://pellwall.com/products/pinene-alpha,Pinene alpha,liquid,"['aroma-chemicals', 'camphoraceous', 'fresh', 'herbal', 'ingredients-for-perfumery', 'liquids', 'molecules', 'pine', 'refreshing', 'resinous', 'warm', 'woody']",['80-56-8'],,,[],
paradisamide,https://pellwall.com/products/paradisamide,Paradisamide,liquid,"['aroma-chemicals', 'cassis', 'fixatives', 'fresh', 'fruity', 'grapefruit', 'guava', 'ingredients-for-perfumery', 'liquids', 'molecules', 'rhubarb', 'tropical', 'tropical-fruit', 'vetiveryl-acetate']",['406488-30-0'],,,['2-ethyl-N-methyl-N-(m-tolyl)butanamide'],Givaudan
pamplocoeur,https://pellwall.com/products/pamplocoeur,Pamplocoeur,liquid,"['aroma-chemicals', 'blends-and-bases', 'citrus', 'floral', 'fresh', 'fruity', 'grapefruit', 'ingredients-for-perfumery', 'juicy', 'lemon', 'lime', 'liquids', 'radiant']",[],"['grapefruit', 'fresh-lemon', 'fruity', 'citrusy']",,['Grapefruit recreation'],Firmenich
damascenone-10,https://pellwall.com/products/damascenone-10,Damascenone 10%,liquid,"['apple', 'aroma-chemicals', 'earthy', 'floral', 'fresh', 'fruity', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'natural', 'plum', 'radiant', 'raspberry', 'rose', 'spicy', 'sweet', 'tobacco']",['23696-85-7'],"['sweet', 'fruity-apple', 'floral-rose,natural', 'raspberry', 'spicy']",,"['beta-damascenone', '(E)-1-(2,6,6-trimethyl-1-cyclohexa-1,3-dienyl)but-2-en-1-one', 'Fermentone', 'Rose Ketone-4', 'Rosenone']",IFF
allyl-hexanoate,https://pellwall.com/products/allyl-hexanoate,Allyl hexanoate,liquid,"['arak', 'aroma-chemicals', 'cognac', 'fatty', 'floral', 'fresh', 'fruity', 'ingredients-for-perfumery', 'juicy', 'liquids', 'molecules', 'natural', 'peach', 'pineapple', 'sweet']",['123-68-2'],,,"['allyl caproate', 'allyl-n-hexoate', 'allyl hexylate', 'vinyl carbinyl hexanoate']",
gamma-decalactone,https://pellwall.com/products/gamma-decalactone,gamma-Decalactone,liquid,"['aroma-chemicals', 'creamy', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'peach', 'sweet']",['706-14-9'],,,"['5-hexyloxolan-2-one,\xa04-decanolide']",
orange-sweet-californian,https://pellwall.com/products/orange-sweet-californian,"Orange, Sweet - Californian",liquid,"['essential-oils', 'fresh', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'orange', 'peel', 'sharp', 'sweet']",['8008-57-9'],,,"['Citrus aurantium', 'Sweet Orange Group']",
lime-oil,https://pellwall.com/products/lime-oil,Lime Oil,liquid,"['citrus', 'clean', 'fresh', 'ingredients-for-perfumery', 'lime', 'liquids', 'natural-ingredients-for-perfumery', 'perfume-like', 'sharp', 'sweet']",['8008-26-2'],,,['Citrus aurantifolia'],Charabot
isobutyl-phenyl-acetate,https://pellwall.com/products/isobutyl-phenyl-acetate,Isobutyl Phenyl Acetate,liquid,"['aroma-chemicals', 'chocolate', 'cocoa', 'fixatives', 'floral', 'fresh', 'fruity', 'green', 'halloween', 'honey', 'ingredients-for-perfumery', 'leafy', 'liquids', 'molecules', 'petal', 'radiant', 'rose', 'sweet']",['102-13-6'],"['sweet', 'cocoa', 'floral-rose', 'musky', 'honey']",,"['2-methylpropyl 2-phenylacetate;\xa0Anther', 'Eglantine', 'Iso-butyl\xa0alpha-toluate;\xa0Iso-butyl Phenyl Acetate', 'Isobutyl Phenylacetate']",
ho-wood-oil,https://pellwall.com/products/ho-wood-oil,Ho Wood Oil,liquid,"['clean', 'essential-oils', 'floral', 'fresh', 'howood', 'ingredients-for-perfumery', 'linalool', 'liquids', 'natural', 'natural-ingredients-for-perfumery', 'rosewood', 'sweet', 'woody']",[],,,[],
benzyl-butyrate,https://pellwall.com/products/benzyl-butyrate,Benzyl butyrate,liquid,"['apple', 'apricot', 'aroma-chemicals', 'berry', 'butter', 'cheese', 'floral', 'fresh', 'fruity', 'herbaceous', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'molecules', 'pineapple', 'plum', 'prunes', 'sweet', 'tropical', 'warm', 'waxy', 'woody']",['103-37-7'],,,"['benzyl n-butyrate', 'phenylmethyl butyrate', 'phenyl methyl butyrate']",
aphermate,https://pellwall.com/products/aphermate,Aphermate,liquid,"['apple', 'aroma-chemicals', 'earthy', 'fresh', 'fruity', 'herbal', 'ingredients-for-perfumery', 'liquids', 'molecules', 'pine', 'seashore', 'unisex-fragrances']",['25225-08-5'],,,"['cyclohexane-1-methanol,alpha,3,3-trimethyl formate']",IFF
